Combination,U-statistic,P-value,Significant Difference,Significance
viet_POSITIVE vs nazi_POSITIVE,84.5,1.0,,Not Significant
viet_NEGATIVE vs afghan_NEGATIVE,3330.5,0.7257553579261041,,Not Significant
viet_POSITIVE vs afghan_POSITIVE,94.5,1.0,,Not Significant
ww2_NEGATIVE vs iraq_NEGATIVE,4974.5,0.9649330976868813,,Not Significant
ww2_POSITIVE vs iraq_POSITIVE,160.0,0.8290202901422175,,Not Significant
ww2_NEGATIVE vs nazi_NEGATIVE,4518.0,0.9634531815899091,,Not Significant
ww2_POSITIVE vs nazi_POSITIVE,144.5,1.0,,Not Significant
ww2_NEGATIVE vs afghan_NEGATIVE,5370.0,0.839629513136058,,Not Significant
ww2_POSITIVE vs afghan_POSITIVE,161.0,1.0,,Not Significant
iraq_NEGATIVE vs nazi_NEGATIVE,6325.5,0.9253478853594019,,Not Significant
iraq_POSITIVE vs nazi_POSITIVE,146.0,0.8290202901422175,,Not Significant
iraq_NEGATIVE vs afghan_NEGATIVE,7514.5,0.7834964225708501,,Not Significant
iraq_POSITIVE vs afghan_POSITIVE,163.0,0.8184279023594497,,Not Significant
nazi_NEGATIVE vs afghan_NEGATIVE,6930.0,0.8655838955334122,,Not Significant
nazi_POSITIVE vs afghan_POSITIVE,161.0,1.0,,Not Significant
